method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,ocr_token_count,latency_ms
OCR + generic de-identification,19,valid,3,6,0,6,3,100.0,0.426,12,555.4
OCR + Presidio receipt de-identification,19,valid,3,6,0,6,3,100.0,0.426,12,555.4
OCR + spaCy receipt de-identification,19,valid,3,12,3,9,0,0.0,0.180,12,555.4
Proposed multimodal mediation,19,valid,3,9,3,6,0,0.0,0.426,12,555.4
Raw OCR text prompt,20,valid,2,0,0,0,2,100.0,1.000,14,1762.9
OCR + regex masking,20,valid,2,8,1,7,1,50.0,0.524,14,1762.9
OCR + generic de-identification,20,valid,2,8,1,7,1,50.0,0.524,14,1762.9
OCR + Presidio receipt de-identification,20,valid,2,8,1,7,1,50.0,0.524,14,1762.9
OCR + spaCy receipt de-identification,20,valid,2,9,2,7,0,0.0,0.524,14,1762.9
Proposed multimodal mediation,20,valid,2,8,1,7,1,50.0,0.524,14,1762.9
Raw OCR text prompt,21,valid,6,0,0,0,6,100.0,1.000,17,566.7
OCR + regex masking,21,valid,6,1,0,1,6,100.0,0.935,17,566.7
OCR + generic de-identification,21,valid,6,1,0,1,6,100.0,0.935,17,566.7
OCR + Presidio receipt de-identification,21,valid,6,11,4,7,2,49.4,0.411,17,566.7
OCR + spaCy receipt de-identification,21,valid,6,10,5,5,1,15.7,0.654,17,566.7
Proposed multimodal mediation,21,valid,6,1,0,1,6,100.0,0.935,17,566.7
Raw OCR text prompt,22,valid,5,0,0,0,5,100.0,1.000,11,475.2
OCR + regex masking,22,valid,5,5,1,4,4,88.9,0.469,11,475.2
OCR + generic de-identification,22,valid,5,7,3,4,2,46.0,0.469,11,475.2
OCR + Presidio receipt de-identification,22,valid,5,10,4,6,1,28.6,0.204,11,475.2
OCR + spaCy receipt de-identification,22,valid,5,10,5,5,0,0.0,0.306,11,475.2
Proposed multimodal mediation,22,valid,5,7,3,4,2,46.0,0.469,11,475.2
Raw OCR text prompt,23,valid,1,0,0,0,1,100.0,1.000,10,601.9
OCR + regex masking,23,valid,1,7,1,6,0,0.0,0.453,10,601.9
OCR + generic de-identification,23,valid,1,7,1,6,0,0.0,0.453,10,601.9
OCR + Presidio receipt de-identification,23,valid,1,7,1,6,0,0.0,0.453,10,601.9
OCR + spaCy receipt de-identification,23,valid,1,8,1,7,0,0.0,0.328,10,601.9
Proposed multimodal mediation,23,valid,1,8,1,7,0,0.0,0.328,10,601.9
Raw OCR text prompt,24,valid,6,0,0,0,6,100.0,1.000,18,1009.3
OCR + regex masking,24,valid,6,8,0,8,6,100.0,0.435,18,1009.3
OCR + generic de-identification,24,valid,6,8,0,8,6,100.0,0.435,18,1009.3
OCR + Presidio receipt de-identification,24,valid,6,8,0,8,6,100.0,0.435,18,1009.3
OCR + spaCy receipt de-identification,24,valid,6,14,4,10,2,31.1,0.318,18,1009.3
Proposed multimodal mediation,24,valid,6,10,2,8,4,73.0,0.435,18,1009.3
Raw OCR text prompt,25,valid,7,0,0,0,7,100.0,1.000,23,2149.9
OCR + regex masking,25,valid,7,10,0,10,7,100.0,0.516,23,2149.9
OCR + generic de-identification,25,valid,7,10,0,10,7,100.0,0.516,23,2149.9
OCR + Presidio receipt de-identification,25,valid,7,13,3,10,4,56.6,0.516,23,2149.9
OCR + spaCy receipt de-identification,25,valid,7,20,6,14,1,13.2,0.278,23,2149.9
Proposed multimodal mediation,25,valid,7,17,5,12,2,26.4,0.429,23,2149.9
Raw OCR text prompt,26,valid,5,0,0,0,5,100.0,1.000,17,705.5
OCR + regex masking,26,valid,5,5,0,5,5,100.0,0.725,17,705.5
OCR + generic de-identification,26,valid,5,6,1,5,4,65.5,0.725,17,705.5
OCR + Presidio receipt de-identification,26,valid,5,6,1,5,4,65.5,0.725,17,705.5
OCR + spaCy receipt de-identification,26,valid,5,14,4,10,1,8.6,0.319,17,705.5
Proposed multimodal mediation,26,valid,5,11,1,10,4,65.5,0.319,17,705.5
Raw OCR text prompt,27,valid,1,0,0,0,1,100.0,1.000,10,2455.4
OCR + regex masking,27,valid,1,1,0,1,1,100.0,0.923,10,2455.4
OCR + generic de-identification,27,valid,1,1,0,1,1,100.0,0.923,10,2455.4
OCR + Presidio receipt de-identification,27,valid,1,3,0,3,1,100.0,0.705,10,2455.4
OCR + spaCy receipt de-identification,27,valid,1,6,0,6,1,100.0,0.436,10,2455.4
Proposed multimodal mediation,27,valid,1,1,0,1,1,100.0,0.923,10,2455.4
Raw OCR text prompt,28,valid,2,0,0,0,2,100.0,1.000,11,320.0
OCR + regex masking,28,valid,2,5,0,5,2,100.0,0.500,11,320.0
OCR + generic de-identification,28,valid,2,5,0,5,2,100.0,0.500,11,320.0
OCR + Presidio receipt de-identification,28,valid,2,7,1,6,1,45.0,0.417,11,320.0
OCR + spaCy receipt de-identification,28,valid,2,9,1,8,1,45.0,0.267,11,320.0
Proposed multimodal mediation,28,valid,2,5,0,5,2,100.0,0.500,11,320.0
Raw OCR text prompt,29,valid,2,0,0,0,2,100.0,1.000,10,216.4
OCR + regex masking,29,valid,2,0,0,0,2,100.0,1.000,10,216.4
OCR + generic de-identification,29,valid,2,0,0,0,2,100.0,1.000,10,216.4
OCR + Presidio receipt de-identification,29,valid,2,3,2,1,0,0.0,0.923,10,216.4
OCR + spaCy receipt de-identification,29,valid,2,4,2,2,0,0.0,0.846,10,216.4
Proposed multimodal mediation,29,valid,2,2,0,2,2,100.0,0.785,10,216.4
Raw OCR text prompt,30,valid,2,0,0,0,2,100.0,1.000,10,2042.5
OCR + regex masking,30,valid,2,5,0,5,2,100.0,0.453,10,2042.5
OCR + generic de-identification,30,valid,2,5,0,5,2,100.0,0.453,10,2042.5
OCR + Presidio receipt de-identification,30,valid,2,5,0,5,2,100.0,0.453,10,2042.5
OCR + spaCy receipt de-identification,30,valid,2,8,2,6,0,0.0,0.358,10,2042.5
