method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,ocr_token_count,latency_ms
OCR + generic de-identification,21,test,10,18,4,14,6,72.9,0.577,43,1883.4
OCR + Presidio form de-identification,21,test,10,28,7,21,3,11.1,0.461,43,1883.4
OCR + spaCy form de-identification,21,test,10,27,7,20,3,31.4,0.372,43,1883.4
Proposed multimodal mediation,21,test,10,21,4,17,6,72.9,0.540,43,1883.4
Raw OCR text prompt,22,test,9,0,0,0,9,100.0,1.000,32,1447.3
OCR + regex masking,22,test,9,2,0,2,9,100.0,0.969,32,1447.3
OCR + generic de-identification,22,test,9,14,3,11,6,53.8,0.645,32,1447.3
OCR + Presidio form de-identification,22,test,9,25,9,16,0,0.0,0.465,32,1447.3
OCR + spaCy form de-identification,22,test,9,22,8,14,1,9.2,0.548,32,1447.3
Proposed multimodal mediation,22,test,9,15,3,12,6,53.8,0.627,32,1447.3
Raw OCR text prompt,23,test,17,0,0,0,17,100.0,1.000,45,841.7
OCR + regex masking,23,test,17,5,4,1,13,83.3,0.982,45,841.7
OCR + generic de-identification,23,test,17,14,9,5,8,57.3,0.861,45,841.7
OCR + Presidio form de-identification,23,test,17,21,12,9,5,41.7,0.790,45,841.7
OCR + spaCy form de-identification,23,test,17,21,13,8,4,34.4,0.788,45,841.7
Proposed multimodal mediation,23,test,17,20,13,7,4,35.9,0.836,45,841.7
Raw OCR text prompt,24,test,0,0,0,0,0,0.0,1.000,32,1352.6
OCR + regex masking,24,test,0,2,0,2,0,0.0,0.951,32,1352.6
OCR + generic de-identification,24,test,0,8,0,8,0,0.0,0.836,32,1352.6
OCR + Presidio form de-identification,24,test,0,7,0,7,0,0.0,0.841,32,1352.6
OCR + spaCy form de-identification,24,test,0,12,0,12,0,0.0,0.776,32,1352.6
Proposed multimodal mediation,24,test,0,11,0,11,0,0.0,0.786,32,1352.6
Raw OCR text prompt,25,test,13,0,0,0,13,100.0,1.000,35,2207.8
OCR + regex masking,25,test,13,1,1,0,12,97.7,1.000,35,2207.8
OCR + generic de-identification,25,test,13,17,7,10,6,59.0,0.517,35,2207.8
OCR + Presidio form de-identification,25,test,13,22,10,12,3,24.4,0.411,35,2207.8
OCR + spaCy form de-identification,25,test,13,27,12,15,1,13.0,0.340,35,2207.8
Proposed multimodal mediation,25,test,13,17,7,10,6,59.0,0.517,35,2207.8
Raw OCR text prompt,26,test,0,0,0,0,0,0.0,1.000,13,262.3
OCR + regex masking,26,test,0,1,0,1,0,0.0,0.960,13,262.3
OCR + generic de-identification,26,test,0,5,0,5,0,0.0,0.717,13,262.3
OCR + Presidio form de-identification,26,test,0,5,0,5,0,0.0,0.717,13,262.3
OCR + spaCy form de-identification,26,test,0,6,0,6,0,0.0,0.687,13,262.3
Proposed multimodal mediation,26,test,0,5,0,5,0,0.0,0.717,13,262.3
Raw OCR text prompt,27,test,0,0,0,0,0,0.0,1.000,38,1092.4
OCR + regex masking,27,test,0,1,0,1,0,0.0,0.987,38,1092.4
OCR + generic de-identification,27,test,0,24,0,24,0,0.0,0.425,38,1092.4
OCR + Presidio form de-identification,27,test,0,9,0,9,0,0.0,0.773,38,1092.4
OCR + spaCy form de-identification,27,test,0,8,0,8,0,0.0,0.793,38,1092.4
Proposed multimodal mediation,27,test,0,24,0,24,0,0.0,0.425,38,1092.4
Raw OCR text prompt,28,test,17,0,0,0,17,100.0,1.000,42,917.7
OCR + regex masking,28,test,17,3,2,1,15,94.9,0.981,42,917.7
OCR + generic de-identification,28,test,17,16,11,5,6,40.9,0.827,42,917.7
OCR + Presidio form de-identification,28,test,17,18,13,5,4,18.5,0.863,42,917.7
OCR + spaCy form de-identification,28,test,17,21,15,6,2,22.1,0.835,42,917.7
Proposed multimodal mediation,28,test,17,20,14,6,3,23.9,0.806,42,917.7
Raw OCR text prompt,29,test,1,0,0,0,1,100.0,1.000,47,1988.4
OCR + regex masking,29,test,1,1,0,1,1,100.0,0.993,47,1988.4
OCR + generic de-identification,29,test,1,16,1,15,0,0.0,0.731,47,1988.4
OCR + Presidio form de-identification,29,test,1,23,1,22,0,0.0,0.551,47,1988.4
OCR + spaCy form de-identification,29,test,1,23,1,22,0,0.0,0.555,47,1988.4
Proposed multimodal mediation,29,test,1,22,1,21,0,0.0,0.686,47,1988.4
Raw OCR text prompt,30,test,8,0,0,0,8,100.0,1.000,25,989.8
OCR + regex masking,30,test,8,2,1,1,7,91.8,0.977,25,989.8
OCR + generic de-identification,30,test,8,10,5,5,3,31.8,0.439,25,989.8
OCR + Presidio form de-identification,30,test,8,10,4,6,4,56.5,0.434,25,989.8
OCR + spaCy form de-identification,30,test,8,15,8,7,0,0.0,0.312,25,989.8
Proposed multimodal mediation,30,test,8,10,5,5,3,31.8,0.439,25,989.8
Raw OCR text prompt,31,test,33,0,0,0,33,100.0,1.000,75,1110.3
OCR + regex masking,31,test,33,24,15,9,18,86.0,0.896,75,1110.3
OCR + generic de-identification,31,test,33,42,17,25,16,66.4,0.587,75,1110.3
OCR + Presidio form de-identification,31,test,33,50,25,25,8,41.0,0.564,75,1110.3
OCR + spaCy form de-identification,31,test,33,56,29,27,4,28.8,0.376,75,1110.3
Proposed multimodal mediation,31,test,33,43,17,26,16,66.4,0.578,75,1110.3
Raw OCR text prompt,32,test,10,0,0,0,10,100.0,1.000,28,1932.8
OCR + regex masking,32,test,10,2,0,2,10,100.0,0.964,28,1932.8
OCR + generic de-identification,32,test,10,18,9,9,1,5.8,0.494,28,1932.8
OCR + Presidio form de-identification,32,test,10,16,8,8,2,18.9,0.605,28,1932.8
OCR + spaCy form de-identification,32,test,10,20,8,12,2,18.9,0.361,28,1932.8
Proposed multimodal mediation,32,test,10,18,9,9,1,5.8,0.494,28,1932.8
Raw OCR text prompt,33,test,9,0,0,0,9,100.0,1.000,25,1134.4
OCR + regex masking,33,test,9,2,0,2,9,100.0,0.911,25,1134.4
OCR + generic de-identification,33,test,9,15,3,12,6,45.7,0.333,25,1134.4
OCR + Presidio form de-identification,33,test,9,16,4,12,5,37.9,0.322,25,1134.4
OCR + spaCy form de-identification,33,test,9,18,7,11,2,13.7,0.400,25,1134.4
